Structure: player,piece name,x,y,rotation,flip


Game 1 with players: R AB_1 AB_2 AB_2
BLUE,singleSquare,2,18,0,0
RED,t4,9,12,2,0
GREEN,3corner,13,5,0,0
RED,3corner,7,14,1,1
GREEN,singleSquare,1,7,0,0
RED,twoPiece,1,1,3,0
GREEN,twoPiece,0,5,3,0
RED,singleSquare,2,0,0,0

Game 9 with players: AB_0 AB_3 AB_0 AB_2
RED,Z5,18,1,1,0
YELLOW,line5,2,0,2,1
GREEN,C5,1,19,2,1
BLUE,L5,19,17,0,1
RED,chunky5,15,0,0,1
YELLOW,X5,6,1,2,0
GREEN,L5tall,1,15,3,0
BLUE,X5,15,16,2,1
RED,line5,11,2,0,0
YELLOW,-L,3,3,0,0
GREEN,line5,2,11,1,0
BLUE,line5,11,15,0,0
RED,-L,7,3,2,0
YELLOW,L5tall,0,3,3,1
GREEN,-L,1,7,0,0
BLUE,-L,7,13,2,1
RED,L5tall,3,5,2,1
YELLOW,z5,9,1,2,0
GREEN,z5,3,14,1,0
BLUE,L5tall,4,11,0,0
RED,z5,5,7,1,0
YELLOW,3corner,13,0,0,1
GREEN,chunky5,4,7,3,0
BLUE,z5,4,15,1,0
RED,T5,7,9,1,0
YELLOW,chunky5,14,3,1,0
GREEN,l4,0,10,3,0
BLUE,chunky5,5,19,2,1
RED,C5,8,6,1,0
YELLOW,T5,11,5,1,0
GREEN,twoPiece,5,12,0,0
BLUE,T5,8,17,0,0
RED,L5,8,11,0,0
YELLOW,C5,11,8,2,0
GREEN,singleSquare,7,11,0,0
BLUE,C5,10,12,0,0
RED,M5,12,9,0,1
YELLOW,L5,14,6,0,0
GREEN,L5,6,10,1,1
BLUE,M5,11,18,2,1
RED,X5,13,12,0,0
YELLOW,M5,15,9,0,1
GREEN,L4,7,6,3,0
BLUE,tree5,13,19,2,0
RED,tree5,10,14,2,0
YELLOW,tree5,16,12,1,0
GREEN,T5,10,4,1,1
BLUE,Z5,18,14,0,1
RED,l4,18,4,3,0
YELLOW,Z5,18,8,0,0
GREEN,X5,5,3,0,0
BLUE,z4,14,13,1,0
RED,cube,7,15,0,0
YELLOW,l4,19,4,3,0
GREEN,tree5,2,1,0,1
BLUE,singleSquare,3,18,0,0
RED,L4,16,4,1,1
YELLOW,line3,17,4,1,0
GREEN,line3,9,10,0,0
BLUE,l4,2,15,3,0
RED,3corner,5,17,1,0
YELLOW,twoPiece,18,11,0,0
BLUE,L4,1,12,1,1
RED,twoPiece,7,18,3,0
YELLOW,singleSquare,8,2,0,0
RED,singleSquare,1,3,0,0

Game 10 with players: AB_0 AB_3 AB_3 AB_3
RED,Z5,18,1,0,1
YELLOW,z5,1,1,1,1
GREEN,tree5,2,19,2,1
BLUE,M5,18,18,1,1
RED,L5,14,3,1,0
YELLOW,tree5,2,5,1,0
GREEN,C5,4,16,0,1
BLUE,z5,15,18,0,0
RED,line5,11,0,0,0
YELLOW,line5,0,6,1,0
GREEN,line5,1,15,1,0
BLUE,line5,10,17,0,0
RED,-L,7,1,0,1
YELLOW,-L,1,10,0,0
GREEN,-L,3,11,2,0
BLUE,-L,6,15,2,1
RED,L5tall,3,1,0,0
YELLOW,L5tall,4,2,0,0
GREEN,L5tall,3,8,0,1
BLUE,L5tall,3,13,0,0
RED,z5,4,3,0,1
YELLOW,chunky5,5,6,0,0
GREEN,z5,6,9,0,1
BLUE,chunky5,6,11,0,0
RED,chunky5,7,5,1,0
YELLOW,T5,8,8,2,0
GREEN,chunky5,6,19,2,1
BLUE,T5,8,14,1,0
RED,T5,10,2,0,0
YELLOW,C5,10,5,2,0
GREEN,T5,9,11,1,0
BLUE,C5,12,12,0,0
RED,C5,10,6,0,0
YELLOW,L5,12,1,0,1
GREEN,L5,10,9,1,0
BLUE,L5,14,9,0,0
RED,M5,13,5,0,0
YELLOW,M5,13,7,0,0
GREEN,twoPiece,0,11,3,0
BLUE,X5,14,15,0,0
RED,X5,16,7,0,0
YELLOW,l4,3,0,0,0
GREEN,singleSquare,0,9,0,0
BLUE,tree5,16,12,0,1
RED,tree5,17,10,2,0
YELLOW,L4,14,4,0,1
BLUE,Z5,18,7,0,1
RED,cube,17,4,0,0
YELLOW,3corner,8,3,1,1
BLUE,l4,10,19,0,0
RED,3corner,16,0,0,1
YELLOW,twoPiece,5,4,0,0
BLUE,cube,17,14,0,0
RED,singleSquare,1,0,0,0
YELLOW,singleSquare,11,8,0,0
BLUE,twoPiece,19,16,3,0
BLUE,singleSquare,1,12,0,0
BLUE,line3,0,14,1,0

Game 11 with players: AB_1 AB_1 AB_2 AB_0
RED,tree5,19,1,1,1
YELLOW,M5,1,1,0,0
GREEN,M5,1,18,2,1
BLUE,line5,19,17,1,0
RED,X5,17,4,3,0
YELLOW,tree5,3,5,3,0
GREEN,-L,4,15,3,1
BLUE,M5,18,13,0,1
RED,line5,13,3,0,0
YELLOW,line5,0,5,1,0
GREEN,line5,0,14,1,0
BLUE,-L,15,12,2,1
RED,-L,9,1,2,1
YELLOW,-L,1,9,0,0
GREEN,L5tall,2,12,1,0
BLUE,L5tall,11,11,0,0
RED,L5tall,5,0,0,0
YELLOW,L5tall,3,10,3,1
GREEN,z5,3,18,0,1
BLUE,z5,7,10,0,1
RED,z5,4,3,1,0
YELLOW,z5,5,6,0,1
GREEN,chunky5,4,11,1,0
BLUE,chunky5,5,8,0,0
RED,chunky5,7,3,3,1
